dN,dE,dU,Sn,Se,Su,DOY,SITE
1.07,-3.15,-9.98,3.02,4.50,14.22,109.00,DHAN
-1.25,2.66,5.64,2.89,5.51,13.46,110.00,DHAN
-1.26,-3.82,-7.50,2.97,5.16,13.52,111.00,DHAN
-3.28,1.75,-4.83,3.33,5.86,15.42,112.00,DHAN
-4.21,-5.44,-4.72,4.13,6.87,19.99,113.00,DHAN
-1.01,-0.29,12.93,4.65,8.41,21.80,114.00,DHAN
2.04,6.12,-7.48,4.92,8.84,23.57,115.00,DHAN
0.61,0.19,-2.83,2.88,5.09,13.89,116.00,DHAN
-0.56,-0.65,2.49,2.98,4.95,13.74,117.00,DHAN
1.73,2.15,-2.92,2.87,4.44,13.77,118.00,DHAN
0.73,-1.17,-0.16,3.35,5.50,15.74,119.00,DHAN
0.58,2.00,4.32,3.56,5.56,16.99,120.00,DHAN
1.81,-0.18,3.92,2.15,2.77,9.68,124.00,DHAN
0.72,3.08,5.93,1.85,2.49,8.55,125.00,DHAN
0.67,-2.92,6.49,2.26,2.89,10.23,126.00,DHAN
-4.06,-9.62,4.95,1.88,2.33,7.92,107.00,IITK
-2.52,-3.25,0.42,1.97,2.40,8.46,108.00,IITK
-1.84,-4.86,-5.18,1.87,2.37,7.78,109.00,IITK
-3.76,-5.68,1.92,1.89,2.43,7.85,110.00,IITK
-2.09,-7.70,0.94,1.81,2.35,7.76,111.00,IITK
-4.76,-7.23,-2.05,1.85,2.41,7.87,112.00,IITK
-4.78,-5.13,0.04,1.99,2.54,8.16,113.00,IITK
-3.92,-8.96,5.01,2.22,3.02,8.95,114.00,IITK
-5.63,-4.59,5.32,1.81,2.18,7.33,115.00,IITK
-2.45,-5.83,1.96,1.75,2.42,7.27,116.00,IITK
-4.13,-5.48,7.91,1.87,2.60,7.97,117.00,IITK
-4.38,-4.32,5.31,2.01,2.64,8.68,118.00,IITK
-2.61,-4.65,0.71,1.90,2.34,7.73,119.00,IITK
-3.79,-2.44,6.97,1.63,2.03,6.88,120.00,IITK
-5.14,-3.38,1.51,1.67,1.93,7.11,121.00,IITK
-6.81,-6.16,1.86,1.74,2.11,7.15,122.00,IITK
-4.56,-2.53,2.80,1.50,1.77,6.33,123.00,IITK
-4.04,-3.68,2.88,1.62,2.06,6.95,124.00,IITK
-3.44,-4.02,4.85,1.54,1.80,6.65,125.00,IITK
-4.24,-6.08,4.96,1.86,2.09,7.72,126.00,IITK
-3.00,-4.62,3.79,1.90,2.34,8.05,127.00,IITK
-0.53,-7.32,-4.77,2.12,2.64,9.21,128.00,IITK
-3.28,-2.35,-3.70,2.50,3.07,10.60,129.00,IITK
-0.21,-4.03,-0.29,1.85,2.28,7.73,130.00,IITK
-1.00,-4.06,-0.74,1.74,2.10,7.61,131.00,IITK
-2.98,-2.88,4.24,1.69,2.05,7.29,132.00,IITK
-4.36,0.31,7.22,1.92,2.45,8.47,133.00,IITK
-0.33,-4.41,-5.10,2.55,3.13,10.87,134.00,IITK
-4.53,-5.76,-2.62,2.54,3.12,10.98,135.00,IITK
-1.65,-1.06,-4.36,1.88,2.36,8.17,136.00,IITK
-1.95,-4.31,-1.08,1.96,2.36,8.48,137.00,IITK
0.48,0.57,-4.21,2.32,2.89,9.89,138.00,IITK
-1.78,-2.65,4.21,2.23,2.79,9.27,139.00,IITK
-0.69,-3.42,6.36,2.13,2.92,9.24,140.00,IITK
-1.05,-5.70,13.15,2.02,2.54,8.76,141.00,IITK
0.05,-2.12,-7.09,1.92,2.45,8.34,142.00,IITK
-0.11,0.07,5.14,1.90,2.50,8.22,143.00,IITK
-1.30,-2.58,-1.12,1.90,2.41,8.26,144.00,IITK
-1.14,-1.27,5.34,1.71,2.10,7.36,145.00,IITK
-1.79,-0.13,6.68,2.24,2.70,9.77,146.00,IITK
-1.21,3.78,-8.13,2.98,3.51,13.16,147.00,IITK
-2.33,-0.99,14.21,2.45,3.21,10.63,148.00,IITK
-1.43,-1.67,4.23,2.85,3.40,12.70,149.00,IITK
0.38,-2.01,12.55,3.28,3.99,14.71,150.00,IITK
-3.54,1.46,3.03,2.37,3.54,10.86,151.00,IITK
-0.81,-1.23,-10.05,2.98,3.24,12.50,152.00,IITK
-1.93,3.15,0.90,2.83,3.81,12.49,153.00,IITK
-0.75,-0.38,-2.54,2.33,2.82,10.11,154.00,IITK
0.70,3.20,0.58,3.41,4.06,14.84,155.00,IITK
-3.47,1.84,13.31,2.55,3.13,10.74,156.00,IITK
-3.61,2.98,-0.85,2.66,3.29,11.59,157.00,IITK
0.27,2.47,3.60,2.07,2.48,8.98,158.00,IITK
-0.61,1.02,-0.72,2.17,2.66,9.32,159.00,IITK
0.95,3.12,5.57,1.96,2.31,8.30,160.00,IITK
-1.23,0.66,4.75,2.03,2.39,8.57,161.00,IITK
2.02,0.01,17.68,1.90,2.33,8.24,162.00,IITK
1.22,1.19,7.83,1.78,2.18,7.73,163.00,IITK
-0.12,3.14,7.57,2.19,2.53,9.21,164.00,IITK
1.48,0.34,5.82,1.96,2.32,8.42,165.00,IITK
2.35,-0.28,0.62,1.99,2.32,8.55,166.00,IITK
0.63,0.08,4.81,2.05,2.66,8.78,167.00,IITK
0.88,2.32,8.31,2.21,2.59,9.48,168.00,IITK
-0.05,4.78,3.48,2.23,2.74,9.38,169.00,IITK
0.96,0.75,2.16,2.93,3.27,12.61,170.00,IITK
2.56,1.40,4.16,3.23,3.84,13.98,171.00,IITK
-1.99,3.51,7.92,3.57,4.28,15.70,172.00,IITK
1.34,1.13,10.23,1.99,2.43,8.38,173.00,IITK
2.01,2.17,-10.89,2.46,2.86,10.69,174.00,IITK
1.89,3.11,15.98,2.31,2.74,9.97,175.00,IITK
2.32,1.42,3.86,2.08,2.60,8.87,176.00,IITK
2.60,-3.14,-7.71,2.74,3.44,11.61,177.00,IITK
1.26,2.02,1.10,1.96,2.43,8.45,178.00,IITK
3.18,1.61,4.08,1.88,2.26,7.94,179.00,IITK
2.51,2.55,1.36,2.53,3.49,11.08,180.00,IITK
1.91,-1.18,6.84,2.27,2.90,9.48,181.00,IITK
-0.74,-2.56,-2.09,2.41,2.96,10.33,182.00,IITK
3.73,2.64,4.69,2.61,3.09,11.42,183.00,IITK
3.79,2.66,12.01,1.80,2.28,7.95,184.00,IITK
0.73,4.82,-2.26,2.46,2.91,10.61,185.00,IITK
0.43,-0.86,-18.70,3.09,3.33,13.21,187.00,IITK
3.57,3.37,8.38,2.55,3.00,10.72,188.00,IITK
2.96,3.15,-6.57,1.93,2.27,8.36,189.00,IITK
3.38,3.53,-0.15,1.83,2.20,7.62,190.00,IITK
5.00,-0.26,-11.97,2.21,2.72,9.21,191.00,IITK
3.26,1.90,-9.45,2.16,2.65,9.22,192.00,IITK
-0.60,2.45,-10.79,3.02,3.45,13.13,193.00,IITK
3.70,3.54,-4.33,2.19,2.60,9.23,194.00,IITK
6.71,6.36,-3.49,2.52,2.95,10.90,195.00,IITK
3.49,6.38,2.12,2.10,2.42,8.96,196.00,IITK
1.76,1.70,-9.89,2.26,2.64,9.58,197.00,IITK
1.16,6.64,-7.78,2.05,2.23,8.78,198.00,IITK
6.14,4.43,-4.62,1.96,2.31,7.86,199.00,IITK
5.32,1.13,-10.97,2.61,3.22,11.20,200.00,IITK
4.17,6.75,-6.96,2.26,2.64,9.64,201.00,IITK
5.15,3.67,-12.92,2.25,2.59,9.58,202.00,IITK
5.20,6.32,-1.72,1.89,2.28,8.13,203.00,IITK
2.44,5.80,-8.62,2.19,2.49,9.08,204.00,IITK
0.76,-1.46,-22.23,2.98,3.57,12.10,205.00,IITK
3.04,4.63,-6.26,3.17,3.77,13.12,206.00,IITK
3.79,8.94,11.57,2.80,3.29,11.98,207.00,IITK
3.52,8.59,-4.97,1.96,2.27,8.52,208.00,IITK
3.66,3.97,-24.45,2.91,3.41,12.68,209.00,IITK
4.74,7.64,-8.61,2.04,2.32,9.01,210.00,IITK
3.20,4.93,-20.26,2.81,3.09,12.26,211.00,IITK
1.75,4.57,-11.37,2.22,2.71,9.64,212.00,IITK
4.76,3.50,-17.32,2.11,2.48,9.36,213.00,IITK
-1.22,-13.04,-3.52,1.96,2.48,8.56,107.00,MANI
-1.95,-10.06,4.30,1.72,2.24,7.64,108.00,MANI
-1.69,-13.65,0.61,1.99,2.50,8.61,109.00,MANI
-4.20,-11.77,2.33,1.85,2.67,7.87,110.00,MANI
-3.04,-11.69,-0.51,2.11,2.75,9.34,111.00,MANI
-3.82,-11.82,3.17,1.84,2.46,8.12,112.00,MANI
-5.25,-9.61,-2.04,2.11,2.80,9.02,113.00,MANI
-2.04,-11.96,4.34,2.01,2.79,8.34,114.00,MANI
-3.54,-6.91,0.56,1.91,2.43,8.18,115.00,MANI
-1.86,-6.22,-4.14,1.62,2.57,7.21,116.00,MANI
-3.34,-9.60,5.47,1.90,2.81,8.27,117.00,MANI
-2.59,-9.63,4.84,1.81,2.57,8.26,118.00,MANI
-3.22,-11.10,3.97,1.85,2.53,7.99,119.00,MANI
-2.25,-4.42,1.50,1.65,2.16,7.41,120.00,MANI
-3.48,-7.93,2.64,1.76,2.17,7.94,121.00,MANI
-4.33,-9.13,3.50,1.85,2.30,7.79,122.00,MANI
-2.95,-6.08,4.17,1.43,1.79,6.30,123.00,MANI
-1.93,-5.92,3.20,1.60,2.07,7.09,124.00,MANI
-1.79,-6.05,3.08,1.52,1.89,6.85,125.00,MANI
-1.50,-10.04,2.23,2.00,2.41,8.82,126.00,MANI
-0.53,-9.48,4.98,1.99,2.76,8.67,127.00,MANI
0.84,-7.42,-3.43,2.08,2.65,9.55,128.00,MANI
1.54,-3.97,15.30,2.39,3.24,10.54,129.00,MANI
-1.75,-3.38,-3.89,2.26,2.98,9.91,130.00,MANI
3.22,-0.31,-10.32,2.78,3.52,12.52,131.00,MANI
-2.46,-1.80,6.85,1.68,2.12,7.52,132.00,MANI
-4.09,0.66,1.18,2.73,3.42,12.34,133.00,MANI
-1.34,-2.38,-3.81,2.30,3.32,10.23,134.00,MANI
-4.77,-5.84,0.15,2.04,2.79,9.06,135.00,MANI
-3.38,-2.60,-7.20,1.92,2.53,8.52,136.00,MANI
-4.86,-1.46,4.75,1.97,2.53,8.93,137.00,MANI
-0.31,1.30,2.46,2.15,2.87,9.73,138.00,MANI
-1.61,-3.36,-3.60,2.36,3.18,10.55,139.00,MANI
-2.99,-4.58,0.40,1.97,3.06,8.88,140.00,MANI
-1.35,-5.78,7.00,2.30,2.88,10.61,141.00,MANI
-3.50,-1.75,0.97,2.10,2.84,9.49,142.00,MANI
0.83,0.00,10.53,2.21,3.15,9.89,143.00,MANI
-2.03,-1.87,4.43,1.83,2.51,8.44,144.00,MANI
-3.85,-4.08,9.88,2.17,2.82,9.71,145.00,MANI
-1.02,-0.74,9.64,2.34,2.89,10.54,146.00,MANI
-2.78,0.11,16.22,2.39,2.95,10.86,147.00,MANI
-0.85,-0.92,6.29,2.31,3.17,10.48,148.00,MANI
-0.01,2.92,0.29,2.38,3.13,10.85,149.00,MANI
-1.75,-3.00,11.22,2.50,3.32,11.18,150.00,MANI
-1.83,-3.37,-1.44,2.70,3.51,12.60,151.00,MANI
4.85,-11.53,-24.70,3.69,4.77,16.74,152.00,MANI
-1.46,-1.64,23.26,2.81,3.86,12.62,153.00,MANI
-0.79,-1.66,-8.51,1.87,2.41,8.44,154.00,MANI
1.66,0.67,-10.02,2.19,2.97,10.10,155.00,MANI
0.30,0.66,15.77,3.42,4.68,15.78,156.00,MANI
-2.21,1.21,-5.38,2.13,2.75,9.72,157.00,MANI
-0.38,0.46,0.50,1.88,2.33,8.67,158.00,MANI
0.23,-4.09,-16.03,3.13,4.12,14.10,159.00,MANI
1.06,3.48,5.64,1.76,2.21,7.85,160.00,MANI
-0.83,2.73,12.86,1.90,2.38,8.58,161.00,MANI
0.06,1.74,9.56,1.88,2.41,8.67,162.00,MANI
2.31,-0.28,4.73,2.10,2.74,9.32,163.00,MANI
0.73,0.68,0.96,1.97,2.47,8.76,164.00,MANI
2.17,0.52,3.29,1.83,2.23,8.26,165.00,MANI
0.78,1.71,4.52,2.02,2.46,8.79,166.00,MANI
-0.55,-1.99,-1.66,1.87,2.59,8.33,167.00,MANI
0.12,-0.14,8.33,2.08,2.59,9.24,168.00,MANI
-0.71,1.03,-0.35,2.08,2.60,9.16,169.00,MANI
-0.65,1.76,0.43,3.14,3.83,13.68,170.00,MANI
2.47,4.20,5.00,1.97,2.33,8.72,171.00,MANI
-1.52,5.16,24.05,2.59,3.09,11.68,172.00,MANI
1.85,5.36,16.48,2.12,2.52,9.71,173.00,MANI
0.47,0.44,2.00,2.22,2.72,10.01,174.00,MANI
0.43,4.40,10.80,2.27,2.85,10.32,175.00,MANI
1.11,5.26,9.18,1.94,2.38,8.69,176.00,MANI
2.61,5.37,-7.59,2.30,3.05,10.37,177.00,MANI
-1.92,5.35,10.17,2.94,3.66,13.47,178.00,MANI
2.54,2.99,0.75,1.98,2.56,9.02,179.00,MANI
2.51,2.40,-1.65,2.04,2.77,9.27,180.00,MANI
0.23,0.17,-5.16,2.00,2.64,9.10,181.00,MANI
0.10,1.50,-2.28,1.89,2.43,8.35,182.00,MANI
0.51,2.06,0.87,1.86,2.36,8.32,183.00,MANI
1.79,1.93,4.15,1.63,2.14,7.43,184.00,MANI
0.65,4.71,-3.04,1.94,2.41,8.92,185.00,MANI
1.94,8.02,3.93,1.88,2.18,8.39,186.00,MANI
-0.77,3.56,-12.62,2.00,2.38,9.14,187.00,MANI
1.58,4.37,-2.04,1.79,2.19,7.93,188.00,MANI
2.94,6.63,6.48,2.02,2.62,9.13,189.00,MANI
1.96,7.95,1.75,2.47,3.16,10.94,190.00,MANI
1.74,2.78,-2.66,1.94,2.50,8.53,191.00,MANI
0.74,6.17,-15.20,2.23,2.78,10.06,192.00,MANI
