dN,dE,dU,Sn,Se,Su,DOY,SITE
3.00,4.40,-6.04,2.07,2.18,8.47,197.00,ROPA
1.95,5.30,-2.87,2.63,2.73,10.72,198.00,ROPA
4.28,8.05,-4.43,2.67,2.88,10.60,199.00,ROPA
4.38,5.63,-4.29,2.68,2.82,10.73,200.00,ROPA
3.16,6.29,-11.30,2.36,2.48,9.73,201.00,ROPA
-0.81,1.88,-1.13,2.38,2.48,9.91,202.00,ROPA
4.09,5.77,5.84,3.06,3.20,12.46,203.00,ROPA
-0.04,4.24,-4.94,2.70,2.79,10.97,204.00,ROPA
4.88,3.49,-5.37,2.29,2.36,9.51,205.00,ROPA
1.18,3.97,-12.77,2.51,2.61,10.27,206.00,ROPA
3.05,6.65,-11.34,2.46,2.69,9.91,207.00,ROPA
3.43,9.54,-30.80,3.10,3.25,12.67,208.00,ROPA
4.42,5.92,-5.32,2.48,2.60,10.33,209.00,ROPA
2.67,10.27,3.05,2.60,2.68,10.85,210.00,ROPA
2.94,5.96,-3.55,2.10,2.10,8.52,211.00,ROPA
1.12,4.89,-4.63,2.14,2.24,8.84,212.00,ROPA
4.77,7.87,-13.97,2.87,3.06,12.08,213.00,ROPA
-4.80,-7.79,8.26,2.80,3.85,12.41,107.00,TRIV
-6.25,-10.99,-1.24,2.65,3.59,11.87,108.00,TRIV
-6.77,-8.77,-2.21,3.18,4.33,13.99,109.00,TRIV
-7.11,-12.81,4.25,2.77,3.95,11.65,110.00,TRIV
-2.81,-2.74,7.64,3.13,4.26,13.50,111.00,TRIV
-4.94,-7.37,-12.82,3.35,4.89,15.24,112.00,TRIV
-13.71,-13.41,15.54,3.25,4.41,13.71,113.00,TRIV
-2.39,-18.32,-13.44,4.43,7.20,20.18,114.00,TRIV
-6.42,-11.70,2.59,3.17,4.70,14.57,115.00,TRIV
-7.83,-9.69,-6.08,2.81,4.14,12.66,116.00,TRIV
-4.50,-6.84,12.96,2.60,3.66,10.89,117.00,TRIV
-3.64,-9.17,-0.07,2.58,3.86,11.21,118.00,TRIV
-6.31,-7.82,12.88,2.77,3.68,12.53,119.00,TRIV
-4.07,-6.62,9.52,2.74,3.85,12.40,120.00,TRIV
-5.40,-5.35,-8.06,2.91,3.99,13.53,121.00,TRIV
-7.81,-7.91,1.37,2.29,2.97,9.70,122.00,TRIV
-3.69,-2.75,11.66,2.21,3.06,9.88,123.00,TRIV
-6.32,-3.20,8.63,2.58,3.77,11.54,124.00,TRIV
-0.67,-2.54,7.39,2.26,3.02,10.13,125.00,TRIV
-5.70,-8.02,17.11,2.40,3.18,10.50,126.00,TRIV
-2.66,-5.50,9.88,2.22,2.86,9.65,127.00,TRIV
-0.60,-4.72,8.07,2.26,2.80,9.47,128.00,TRIV
-1.54,-12.44,9.92,2.99,4.11,13.29,129.00,TRIV
-0.56,-4.38,-0.30,2.68,3.54,12.00,130.00,TRIV
-2.02,-12.34,-5.51,2.53,3.34,11.26,131.00,TRIV
-1.47,-3.39,7.64,2.35,2.96,10.25,132.00,TRIV
-4.56,-8.56,14.79,2.82,3.63,12.24,133.00,TRIV
-3.18,-3.79,5.69,2.48,3.34,11.00,134.00,TRIV
-2.08,-4.29,19.76,2.37,2.95,9.52,135.00,TRIV
-0.56,0.52,-3.75,2.07,2.91,9.22,136.00,TRIV
0.26,-4.41,-1.36,2.39,3.31,10.59,137.00,TRIV
-3.67,-4.00,15.79,2.39,3.32,10.87,138.00,TRIV
-2.45,-10.55,20.61,2.87,4.02,12.80,139.00,TRIV
-0.74,-3.01,-0.50,2.26,3.32,10.09,140.00,TRIV
-1.12,-5.89,2.46,2.77,3.76,12.42,141.00,TRIV
-2.97,2.04,5.56,2.77,3.69,12.35,142.00,TRIV
-3.61,-2.68,13.34,2.65,3.61,11.91,143.00,TRIV
-2.57,0.51,6.71,3.08,4.02,13.85,144.00,TRIV
-2.92,-4.40,35.92,2.88,3.95,13.05,145.00,TRIV
-2.33,-0.85,9.99,2.37,2.97,10.04,146.00,TRIV
-2.73,-3.67,10.98,2.84,3.69,12.76,147.00,TRIV
-2.05,-1.07,-2.32,2.30,2.98,10.51,148.00,TRIV
0.97,-0.46,5.79,2.53,3.19,11.00,149.00,TRIV
0.55,0.44,6.18,2.94,3.93,13.20,150.00,TRIV
0.13,-2.66,4.40,2.03,2.61,9.06,151.00,TRIV
1.60,0.23,-5.06,2.74,3.57,12.33,152.00,TRIV
0.59,-1.47,2.75,1.94,2.44,8.49,153.00,TRIV
-3.77,2.47,1.90,2.24,2.86,9.64,154.00,TRIV
1.12,-0.62,-10.85,2.08,2.70,9.37,155.00,TRIV
-2.51,-2.03,0.31,2.10,3.06,9.55,156.00,TRIV
-1.28,1.83,3.03,2.55,3.42,11.36,157.00,TRIV
0.86,-0.99,4.75,2.79,3.87,12.60,158.00,TRIV
1.98,2.08,2.12,3.22,4.27,14.84,159.00,TRIV
-3.74,-4.24,-6.92,4.02,5.28,18.13,160.00,TRIV
2.19,3.18,11.06,3.42,4.59,15.73,161.00,TRIV
1.47,4.24,1.87,3.20,4.34,14.90,162.00,TRIV
2.25,5.64,-2.73,2.31,3.10,10.24,163.00,TRIV
0.75,-1.08,2.06,2.71,3.60,12.34,164.00,TRIV
0.57,-2.50,-5.61,2.52,3.24,10.81,165.00,TRIV
0.53,2.58,5.15,2.47,3.29,10.70,166.00,TRIV
0.44,-2.15,8.25,2.64,3.51,11.37,167.00,TRIV
0.80,0.93,1.85,1.98,2.73,8.68,168.00,TRIV
3.88,2.64,-1.36,2.34,3.00,10.25,169.00,TRIV
0.69,3.95,-12.93,3.27,4.26,14.65,170.00,TRIV
2.84,1.67,-8.66,2.63,3.39,11.91,171.00,TRIV
-0.82,6.02,-12.41,2.60,3.50,11.94,172.00,TRIV
-1.91,4.46,-11.37,2.71,3.60,12.39,173.00,TRIV
3.09,5.45,-1.59,2.11,2.75,9.60,174.00,TRIV
1.63,2.20,6.02,2.20,2.91,9.92,175.00,TRIV
3.26,1.50,-0.08,2.84,3.70,12.89,176.00,TRIV
2.91,2.85,-0.18,2.99,4.04,13.90,177.00,TRIV
2.39,2.01,0.53,2.55,3.43,12.04,178.00,TRIV
1.82,-0.07,-3.80,2.61,3.81,12.21,179.00,TRIV
3.40,2.69,0.54,2.44,3.01,10.79,180.00,TRIV
4.75,5.64,-0.36,2.73,3.74,12.54,181.00,TRIV
1.87,3.04,-1.89,2.09,2.65,9.25,182.00,TRIV
3.65,5.58,-3.81,2.12,2.72,9.54,183.00,TRIV
6.52,2.57,-6.39,2.27,2.84,9.91,184.00,TRIV
4.12,5.05,-5.45,2.09,2.68,9.61,185.00,TRIV
4.27,6.09,-6.81,1.84,2.28,8.40,186.00,TRIV
0.89,5.45,-13.15,2.42,3.09,11.07,187.00,TRIV
4.71,5.54,-16.51,1.97,2.61,9.13,188.00,TRIV
1.75,7.06,-0.04,2.26,3.10,9.69,189.00,TRIV
4.14,7.55,-0.56,1.94,2.42,8.71,190.00,TRIV
5.17,6.82,6.73,2.51,3.22,11.14,191.00,TRIV
1.36,4.25,-19.60,2.14,2.68,9.32,192.00,TRIV
3.03,8.75,-4.28,1.77,2.34,7.94,193.00,TRIV
2.30,5.63,5.21,2.65,3.66,11.82,194.00,TRIV
4.49,6.32,-13.48,2.43,3.20,11.29,195.00,TRIV
4.62,8.98,-11.34,2.92,3.97,13.76,196.00,TRIV
-5.61,0.08,-17.92,4.54,6.22,21.20,197.00,TRIV
1.08,5.80,-10.37,2.57,3.28,11.91,198.00,TRIV
1.39,3.12,0.09,2.87,3.99,13.17,199.00,TRIV
6.03,3.37,-3.20,2.64,3.55,12.51,200.00,TRIV
5.16,6.95,-20.59,2.28,2.94,10.29,201.00,TRIV
3.74,7.76,-19.93,1.87,2.48,8.81,202.00,TRIV
3.90,6.02,4.27,1.98,2.53,8.93,203.00,TRIV
4.95,11.64,0.66,2.44,3.32,11.63,204.00,TRIV
6.06,6.05,-15.85,1.82,2.32,8.09,205.00,TRIV
7.19,9.85,-10.52,2.13,2.73,9.61,206.00,TRIV
2.57,11.90,-10.09,1.97,2.62,9.11,207.00,TRIV
5.99,10.78,-9.20,1.80,2.45,8.40,208.00,TRIV
6.08,9.19,-13.99,1.84,2.44,8.67,209.00,TRIV
4.92,9.37,-2.39,3.05,4.05,14.55,210.00,TRIV
7.28,7.44,-5.11,2.74,3.63,12.96,211.00,TRIV
4.98,10.34,-7.21,1.92,2.51,8.73,212.00,TRIV
5.13,5.51,-11.39,2.04,2.57,9.18,213.00,TRIV
-2.63,-2.31,4.52,3.03,3.89,14.25,220.00,BOMB
-0.81,1.70,4.56,3.69,4.58,18.48,221.00,BOMB
-0.99,1.62,8.42,3.42,4.52,17.05,222.00,BOMB
4.43,-1.01,-17.50,4.21,5.19,20.19,223.00,BOMB
1.28,-4.94,15.17,2.37,2.73,10.29,214.00,IITK
0.88,-0.80,1.09,1.90,2.13,8.20,215.00,IITK
-0.25,-2.85,9.03,2.00,2.23,8.63,216.00,IITK
1.00,-2.77,1.38,2.16,2.51,9.28,217.00,IITK
-1.05,0.25,0.68,1.83,2.00,7.46,218.00,IITK
-2.64,4.40,-11.67,2.49,2.88,10.27,219.00,IITK
-0.55,-1.11,-6.86,2.03,2.47,8.28,220.00,IITK
-0.23,4.78,4.21,2.32,2.88,9.82,221.00,IITK
0.86,1.12,-1.75,2.05,2.68,8.50,222.00,IITK
0.71,1.97,-11.27,2.28,2.88,9.43,223.00,IITK
2.19,-6.57,8.85,4.87,6.62,19.63,214.00,MANI
0.16,-0.09,23.53,5.06,7.63,22.60,215.00,MANI
-1.31,-1.25,2.80,3.86,5.35,16.55,216.00,MANI
0.56,1.15,-6.48,4.76,7.51,19.69,217.00,MANI
-3.57,-7.99,-1.18,4.11,5.84,17.14,218.00,MANI
-2.52,1.64,-6.67,3.17,5.13,12.94,219.00,MANI
2.13,1.07,-3.12,1.76,2.20,7.58,220.00,MANI
1.02,3.45,-5.51,2.12,2.70,9.23,221.00,MANI
1.46,3.52,-7.92,1.98,2.71,8.52,222.00,MANI
-0.13,5.03,-4.29,2.04,2.56,8.75,223.00,MANI
7.35,-25.37,28.12,9.23,11.86,25.49,214.00,ROPA
0.38,3.40,3.38,2.82,3.32,11.10,215.00,ROPA
0.84,10.05,13.20,4.55,8.50,17.54,216.00,ROPA
0.06,4.42,-3.26,2.98,3.83,11.62,217.00,ROPA
-3.17,0.43,-3.58,2.74,3.11,10.47,218.00,ROPA
-1.49,-6.26,-4.83,3.59,5.62,13.72,219.00,ROPA
-0.16,3.10,-3.28,2.13,2.42,8.69,220.00,ROPA
0.41,5.86,-18.50,2.65,3.01,11.09,221.00,ROPA
-2.42,-0.03,-5.02,2.76,3.17,11.13,222.00,ROPA
-1.80,4.43,-6.20,2.53,2.80,10.11,223.00,ROPA
-3.77,-4.26,-11.36,6.47,9.11,22.85,214.00,TRIV
12.51,6.14,11.13,7.56,11.24,33.95,215.00,TRIV
-0.45,3.53,-3.47,3.05,4.28,12.54,216.00,TRIV
-1.46,-3.47,-7.86,4.31,6.82,14.42,217.00,TRIV
4.93,-2.68,12.30,4.12,6.67,14.26,218.00,TRIV
-4.37,-8.99,1.32,5.60,9.69,18.25,219.00,TRIV
-1.47,0.84,-4.07,1.93,2.49,8.38,220.00,TRIV
-3.87,2.04,3.90,2.64,3.60,11.62,221.00,TRIV
0.20,3.86,-6.25,2.09,2.72,9.20,222.00,TRIV
-2.27,2.96,4.34,2.23,2.95,10.18,223.00,TRIV
0.83,-7.74,-4.36,2.46,3.25,11.74,224.00,BOMB
-2.53,-3.34,6.27,2.92,3.69,13.94,225.00,BOMB
-0.19,0.08,-4.66,3.11,5.06,14.49,226.00,BOMB
-4.52,-2.66,-4.69,2.98,3.89,14.56,227.00,BOMB
3.77,-5.07,4.79,3.03,3.82,14.10,228.00,BOMB
3.65,25.09,1.76,5.29,7.42,25.47,229.00,BOMB
-0.98,-6.39,0.89,3.21,4.62,14.08,230.00,BOMB
1.86,-0.53,-0.66,1.88,2.23,7.84,224.00,IITK
-1.55,0.13,-2.79,2.26,2.79,9.68,225.00,IITK
0.50,-0.38,0.35,1.98,2.54,8.32,226.00,IITK
-2.37,0.45,-5.33,2.25,2.76,9.26,227.00,IITK
0.77,3.17,2.83,2.02,2.34,8.24,228.00,IITK
-0.61,-2.85,-1.73,2.01,2.53,8.43,229.00,IITK
1.42,0.04,7.30,2.54,3.09,10.70,230.00,IITK
-0.33,-1.18,0.77,1.69,2.12,7.44,224.00,MANI
-0.33,-0.17,1.43,1.78,2.28,7.65,225.00,MANI
-0.66,0.55,-4.64,1.85,2.48,8.02,226.00,MANI
-1.58,1.89,6.09,2.01,2.62,8.46,227.00,MANI
0.46,1.17,5.11,2.11,2.67,9.06,228.00,MANI
2.83,-2.03,-1.23,2.17,3.08,9.56,229.00,MANI
-0.35,-0.20,-7.51,2.09,2.63,8.87,230.00,MANI
1.96,-1.70,14.14,3.90,4.28,16.36,224.00,ROPA
1.19,-1.95,-7.58,2.26,2.52,9.07,225.00,ROPA
-2.12,0.88,-0.82,2.24,2.84,9.29,226.00,ROPA
-2.93,2.31,0.77,2.39,2.76,9.46,227.00,ROPA
1.12,1.36,0.52,2.16,2.31,8.54,228.00,ROPA
0.44,-0.53,-7.14,2.47,2.70,10.18,229.00,ROPA
0.37,-0.38,0.09,2.09,2.51,8.48,230.00,ROPA
1.75,0.88,7.07,1.86,2.47,8.52,224.00,TRIV
3.10,1.41,-11.42,2.36,3.30,10.66,225.00,TRIV
2.58,2.54,0.86,2.41,3.56,10.67,226.00,TRIV
-3.07,1.61,-0.23,2.29,3.00,10.02,227.00,TRIV
-0.53,0.86,9.19,2.06,2.92,9.08,228.00,TRIV
-1.89,-5.23,-1.40,2.49,3.73,11.37,229.00,TRIV
-1.94,-2.10,-4.05,2.30,3.26,10.49,230.00,TRIV
