SITE,YR,DOY,TD,PR,HR
MANI, 24, 164, 33.493, 942.976, 44.0627
MANI, 24, 165, 30.7372, 942.599, 52.7218
MANI, 24, 166, 32.8018, 942.102, 46.9343
MANI, 24, 167, 32.7822, 942.056, 47.9566
MANI, 24, 168, 34.2196, 942.918, 44.6971
MANI, 24, 169, 30.0634, 943.647, 62.7263
MANI, 24, 170, 28.0443, 941.838, 76.7533
MANI, 24, 171, 30.4422, 939.497, 63.0679
MANI, 24, 172, 34.6422, 937.732, 46.1142
MANI, 24, 173, 25.9863, 940.864, 89.0597
MANI, 24, 174, 29.2666, 939.81, 72.0578
MANI, 24, 175, 26.565, 939.691, 87.12
MANI, 24, 176, 29.5389, 938.277, 73.0517
MANI, 24, 177, 31.9795, 937.983, 62.4806
MANI, 24, 178, 31.9195, 938.152, 63.2512
MANI, 24, 179, 27.3069, 939.663, 86.6443
MANI, 24, 180, 28.5759, 940.374, 78.2208
MANI, 24, 181, 26.9948, 941.129, 82.3028
MANI, 24, 182, 26.2902, 940.626, 88.3477
MANI, 24, 183, 26.0345, 939.084, 86.3777
MANI, 24, 184, 25.9801, 938.483, 84.3794
MANI, 24, 185, 26.0891, 939.774, 90.1297
MANI, 24, 186, 26.0923, 940.926, 87.9516
MANI, 24, 187, 26.4441, 938.261, 87.1933
MANI, 24, 188, 26.137, 938.464, 87.3765
MANI, 24, 189, 28.7275, 940.463, 77.1303
MANI, 24, 190, 27.1251, 940.944, 86.7524
MANI, 24, 191, 29.8045, 941.948, 73.3552
MANI, 24, 192, 29.1125, 943.218, 76.3735
MANI, 24, 193, 28.9038, 941.248, 73.522
MANI, 24, 194, 28.6707, 939.675, 77.377
MANI, 24, 195, 26.7374, 938.865, 85.364
MANI, 24, 196, 29.0183, 936.88, 74.6812
MANI, 24, 197, 28.1799, 938.275, 83.2288
MANI, 24, 198, 27.9427, 938.248, 88.5985
MANI, 24, 199, 27.6829, 939.584, 84.3934
MANI, 24, 200, 27.3358, 939.139, 87.4134
MANI, 24, 201, 27.2431, 938.23, 88.5632
MANI, 24, 202, 27.7826, 938.374, 86.4467
MANI, 24, 203, 26.9085, 937.868, 91.4251
MANI, 24, 204, 26.3917, 939.395, 90.6378
MANI, 24, 205, 25.6129, 938.974, 91.5853
MANI, 24, 206, 24.5514, 935.413, 93.2124
MANI, 24, 207, 25.2137, 935.73, 92.6556
MANI, 24, 208, 24.4979, 937.196, 97.1358
MANI, 24, 209, 24.5343, 937.851, 95.025
MANI, 24, 210, 25.6326, 935.049, 96.3052
MANI, 24, 211, 25.8906, 937.248, 89.3882
MANI, 24, 212, 26.3833, 941.139, 86.8787
MANI, 24, 213, 26.5762, 941.682, 86.5382
MANI, 24, 214, 24.4804, 940.516, 94.7056
MANI, 24, 215, 23.3678, 939.746, 98.843
MANI, 24, 216, 25.0871, 940.387, 92.0871
MANI, 24, 217, 24.2455, 940.267, 95.9299
MANI, 24, 218, 25.3899, 943.152, 90.7045
MANI, 24, 219, 25.9223, 942.683, 83.5672
MANI, 24, 220, 26.3304, 943.079, 77.5533
MANI, 24, 221, 23.8778, 943.289, 87.5444
MANI, 24, 222, 25.6269, 945.194, 82.5126
MANI, 24, 223, 25.2944, 944.027, 87.373
MANI, 24, 224, 24.9892, 942.853, 88.6462
MANI, 24, 225, 25.5289, 943.678, 87.5324
MANI, 24, 226, 26.5483, 944.81, 84.0278
ROPA, 24, 107, 24.3248, 978.587, 54.6554
ROPA, 24, 108, 25.5824, 977.726, 49.6072
ROPA, 24, 109, 28.6344, 975.255, 42.2037
ROPA, 24, 110, 28.7181, 974.173, 38.0586
ROPA, 24, 111, 27.8289, 974.534, 48.4937
ROPA, 24, 112, 26.3149, 975.399, 49.5196
ROPA, 24, 113, 27.9139, 976.387, 41.1213
ROPA, 24, 114, 26.1148, 976.56, 45.0216
ROPA, 24, 115, 28.8841, 975.968, 37.477
ROPA, 24, 116, 29.1307, 975.453, 37.4593
ROPA, 24, 117, 32.3373, 973.87, 33.4643
ROPA, 24, 118, 27.4169, 976.69, 41.2544
ROPA, 24, 119, 28.9511, 976.886, 38.1251
ROPA, 24, 120, 22.0163, 978.269, 64.1201
ROPA, 24, 121, 25.3837, 974.305, 41.6802
ROPA, 24, 122, 22.3526, 974.028, 48.1824
ROPA, 24, 123, 25.6523, 974.39, 40.757
ROPA, 24, 124, 28.323, 975.276, 35.1065
ROPA, 24, 125, 30.0081, 974.191, 35.2758
ROPA, 24, 126, 29.3453, 971.539, 41.0193
ROPA, 24, 127, 30.7338, 973.494, 40.1228
ROPA, 24, 128, 32.0038, 975.209, 37.7932
ROPA, 24, 129, 32.6093, 975.6, 45.2617
ROPA, 24, 130, 31.0037, 975.266, 46.7163
ROPA, 24, 131, 31.0785, 976.727, 50.8351
ROPA, 24, 132, 30.7713, 977.802, 46.5082
ROPA, 24, 133, 29.4778, 979.001, 48.813
ROPA, 24, 134, 32.458, 977.852, 30.3197
ROPA, 24, 135, 32.9503, 977.957, 29.0879
ROPA, 24, 136, 30.4544, 978.097, 40.0613
ROPA, 24, 137, 31.2272, 976.109, 43.7257
ROPA, 24, 138, 34.8968, 973.485, 35.6184
ROPA, 24, 139, 34.7614, 970.352, 33.9523
ROPA, 24, 140, 35.1632, 969.13, 35.3008
ROPA, 24, 141, 35.935, 971.19, 31.9222
ROPA, 24, 142, 33.6731, 971.93, 43.701
ROPA, 24, 143, 33.5903, 971.775, 51.2711
ROPA, 24, 144, 34.1108, 971.703, 47.6028
ROPA, 24, 145, 33.7389, 971.395, 47.3874
ROPA, 24, 146, 33.1151, 969.884, 44.5797
ROPA, 24, 147, 36.5338, 966.503, 33.3642
ROPA, 24, 148, 37.1502, 965.009, 30.4104
ROPA, 24, 149, 33.3816, 963.154, 33.7939
ROPA, 24, 150, 36.2545, 964.883, 27.9559
ROPA, 24, 151, 34.5268, 968.212, 26.0128
ROPA, 24, 152, 38.3264, 969.955, 21.2849
ROPA, 24, 153, 34.4829, 970.922, 30.4899
ROPA, 24, 154, 35.9059, 971.583, 36.8316
ROPA, 24, 155, 35.7003, 970.698, 31.5233
ROPA, 24, 156, 34.4439, 970.897, 35.0582
ROPA, 24, 157, 32.5589, 972.751, 44.1979
ROPA, 24, 158, 31.9678, 977.081, 43.2044
ROPA, 24, 159, 31.9337, 971.547, 42.526
ROPA, 24, 160, 30.8917, 971.211, 45.3222
ROPA, 24, 161, 26.0503, 970.883, 51.6793
ROPA, 24, 162, 38.7708, 970.168, 20.6652
ROPA, 24, 163, 33.5692, 969.728, 34.0185
ROPA, 24, 164, 37.8969, 968.581, 27.0804
ROPA, 24, 165, 36.0397, 968.017, 29.0502
ROPA, 24, 166, 31.0404, 968.113, 45.7783
ROPA, 24, 167, 35.8003, 968.06, 38.4615
ROPA, 24, 168, 33.2893, 968.512, 50.9177
ROPA, 24, 169, 36.3901, 968.285, 38.1986
ROPA, 24, 170, 35.8077, 965.66, 43.386
ROPA, 24, 171, 33.4006, 964.517, 54.3547
ROPA, 24, 172, 29.8717, 968.104, 62.2469
